focal_koala,ts,other_name,other_file_uid,other_device_uid,rssi_dbm,behaviour
Lotus,2025-04-24 06:56:52+00:00,ShooShoo,rW8UmCvAsUE_mmMb,C1612010EDD05386,-76,
Lotus,2024-03-15 15:54:12+00:00,Izzy,fR_XoQxn5Vetu7Oz,C1612010DEB4D5B3,-23,
Ned,2026-03-13 06:53:01+00:00,Georgia,DTSrQRtagHBCFtM5,C16120107EE4A8B2,-47,
Ned,2026-03-13 06:42:41+00:00,Aja,dIspzB2mmHhtXXhD,C1612010A8CE4731,-45,
Ned,2026-03-13 06:32:41+00:00,Ollie,5l7YyTQeAzQaGTNp,C161201095828D05,-35,
Ned,2026-03-13 05:22:40+00:00,Sophie,sm_XDjGT5USjLD8m,C1612010A0B7B255,-26,
Ned,2026-03-13 05:02:40+00:00,Blaise,fv09ZZRpUF9g2K1T,C1612010A1E09162,-56,
Ned,2026-03-13 04:32:40+00:00,Kaelah,ij3a4ffXe_X2v3ob,C1612010E66E0C91,-46,
Ned,2026-03-13 01:52:38+00:00,Shinny,FJsyLYZTyUxCmF5w,C16120105756219F,-58,
Ned,2026-03-13 00:32:37+00:00,Annie,4yQn56IiUYYus6SW,C1612010759E9E2A,-58,
Ned,2026-03-12 19:02:33+00:00,Lotus,qxRhNrgO_Z1JXNMl,C1612010E5AA0556,-54,
Ned,2026-03-11 22:59:28+00:00,Emily,bxLRr2bF1yroL9q_,C161201022CC9795,-72,
Ned,2026-03-11 12:39:22+00:00,Cameron,5DAWqLa9Xw4725Ie,C1612010B92FC4A4,-55,
Ned,2025-12-01 08:48:55+00:00,Aymeric,tSKTT6238ofKg3Q3,C1612010105EB6ED,-89,
Ned,2025-11-17 07:12:39+00:00,ShooShoo,rW8UmCvAsUE_mmMb,C1612010EDD05386,-49,
Ned,2025-11-17 06:52:38+00:00,Robbie,ZfBOHgBBRAeCnQ6f,C1612010105EB6ED,-51,
Ned,2025-02-07 01:41:35+00:00,Miles,YRzGafuXiTR6B76A,C1612010E10A319D,-55,
Ned,2024-10-25 13:16:54+00:00,Hannah,UO4JeHUxVEv63vnw,C1612010CBAF4F18,-71,
Olivia,2025-11-08 23:40:29+00:00,Craig,HgtPir_hkhltDlXd,C16120101BFA4E3A,-82,
Olivia,2024-10-19 06:01:01+00:00,Shinny,FJsyLYZTyUxCmF5w,C1612010B5EB60B7,-55,
Ollie,2026-03-13 07:05:49+00:00,Kaelah,ij3a4ffXe_X2v3ob,C1612010E66E0C91,-28,
Ollie,2026-03-13 06:55:49+00:00,Aja,dIspzB2mmHhtXXhD,C1612010A8CE4731,-33,
Ollie,2026-03-13 06:45:48+00:00,Izzy,fR_XoQxn5Vetu7Oz,C161201068A42326,-54,
Ollie,2026-03-13 06:45:48+00:00,Lotus,qxRhNrgO_Z1JXNMl,C1612010E5AA0556,-48,
Ollie,2026-03-13 06:15:48+00:00,Sophie,sm_XDjGT5USjLD8m,C1612010A0B7B255,-25,
Ollie,2026-03-13 06:05:48+00:00,Georgia,DTSrQRtagHBCFtM5,C16120107EE4A8B2,-33,
Ollie,2026-03-13 06:05:48+00:00,Shinny,FJsyLYZTyUxCmF5w,C16120105756219F,-42,
Ollie,2026-03-13 05:45:48+00:00,Ned,VwBsAap7vZyZ4UL5,C1612010A51649EF,-33,
Ollie,2026-03-12 15:55:40+00:00,Cameron,5DAWqLa9Xw4725Ie,C1612010B92FC4A4,-57,
Ollie,2026-03-12 15:25:39+00:00,Blaise,fv09ZZRpUF9g2K1T,C1612010A1E09162,-53,
Ollie,2026-03-12 11:15:37+00:00,Annie,4yQn56IiUYYus6SW,C1612010759E9E2A,-50,
Ollie,2026-03-11 04:25:19+00:00,Emily,bxLRr2bF1yroL9q_,C161201022CC9795,-54,
Ollie,2025-09-19 23:22:06+00:00,Robbie,ZfBOHgBBRAeCnQ6f,C1612010105EB6ED,-87,
Ollie,2025-08-28 01:55:35+00:00,Aymeric,tSKTT6238ofKg3Q3,C1612010105EB6ED,-30,
Ollie,2024-10-18 00:35:03+00:00,Callan,TOZc5ZikBKiDQSKc,C1612010B71B8436,-61,
Ollie,2024-05-07 15:19:58+00:00,Lincoln,b9dWfrIHn1Zgqs2s,C1612010DA1693D9,-86,
Pippah,2025-05-22 17:36:14+00:00,Callan,TOZc5ZikBKiDQSKc,C1612010B71B8436,-81,
Pippah,2024-10-23 03:45:59+00:00,Shinny,FJsyLYZTyUxCmF5w,C1612010B5EB60B7,-61,
Robbie,2025-11-17 07:09:33+00:00,ShooShoo,rW8UmCvAsUE_mmMb,C1612010EDD05386,-63,
Robbie,2025-11-17 07:09:33+00:00,Ned,VwBsAap7vZyZ4UL5,C1612010A51649EF,-51,
Robbie,2025-11-17 07:09:33+00:00,Blaise,fv09ZZRpUF9g2K1T,C1612010A1E09162,-48,
Robbie,2025-11-17 06:59:33+00:00,Shinny,FJsyLYZTyUxCmF5w,C1612010B5EB60B7,-59,
Robbie,2025-10-29 17:05:43+00:00,Annie,4yQn56IiUYYus6SW,C1612010E2E5C38B,-57,
Robbie,2025-09-19 23:22:33+00:00,Ollie,5l7YyTQeAzQaGTNp,C161201095828D05,-86,
Robbie,2025-09-16 15:22:24+00:00,Lotus,qxRhNrgO_Z1JXNMl,C1612010E5AA0556,-91,
Shinny,2026-03-14 04:02:39+00:00,Hannah,UO4JeHUxVEv63vnw,C1612010CBAF4F18,-69,
Shinny,2026-03-14 03:52:39+00:00,Craig,HgtPir_hkhltDlXd,C16120101BFA4E3A,-44,
Shinny,2026-03-14 03:52:39+00:00,Cameron,5DAWqLa9Xw4725Ie,C1612010B92FC4A4,-43,
Shinny,2026-03-14 00:22:37+00:00,Izzy,fR_XoQxn5Vetu7Oz,C161201068A42326,-53,
Shinny,2026-03-13 23:32:36+00:00,Kaelah,ij3a4ffXe_X2v3ob,C1612010E66E0C91,-51,
Shinny,2026-03-13 23:22:36+00:00,Sophie,sm_XDjGT5USjLD8m,C1612010A0B7B255,-52,
Shinny,2026-03-13 21:52:35+00:00,Emily,bxLRr2bF1yroL9q_,C161201022CC9795,-68,
Shinny,2026-03-13 07:02:27+00:00,Ollie,5l7YyTQeAzQaGTNp,C161201095828D05,-45,
Shinny,2026-03-13 06:22:26+00:00,Lotus,qxRhNrgO_Z1JXNMl,C1612010E5AA0556,-39,
Shinny,2026-03-13 04:52:25+00:00,Aja,dIspzB2mmHhtXXhD,C1612010A8CE4731,-45,
Shinny,2026-03-13 02:32:21+00:00,Georgia,DTSrQRtagHBCFtM5,C16120107EE4A8B2,-47,
Shinny,2026-03-13 01:12:17+00:00,Aymeric,tSKTT6238ofKg3Q3,C1612010105EB6ED,-47,
Shinny,2026-03-12 20:02:14+00:00,Blaise,fv09ZZRpUF9g2K1T,C1612010A1E09162,-49,
Shinny,2026-03-12 01:32:03+00:00,Annie,4yQn56IiUYYus6SW,C1612010759E9E2A,-58,
Shinny,2026-03-11 19:42:00+00:00,Ned,VwBsAap7vZyZ4UL5,C1612010A51649EF,-64,
